QTG54_000549	Sm_t00000559-RA
QTG54_000550	Sm_t00000560-RA
QTG54_000551	Sm_t00000561-RA
QTG54_000552	Sm_t00000562-RA
QTG54_000553	Sm_t00000563-RA
QTG54_000554	Sm_t00000564-RA
QTG54_000555	Sm_t00000565-RA
QTG54_000556	Sm_t00000566-RA
QTG54_000557	Sm_t00000567-RA
QTG54_000558	Sm_t00000568-RA
QTG54_000559	Sm_t00000569-RA
QTG54_000560	Sm_t00000570-RA
QTG54_000561	Sm_t00000571-RA
QTG54_000562	Sm_t00000572-RA
QTG54_000563	Sm_t00000573-RA
QTG54_000564	Sm_t00000574-RA
QTG54_000565	Sm_t00000575-RA
QTG54_000566	Sm_t00000576-RA
QTG54_000567	Sm_t00000577-RA
QTG54_000568	Sm_t00000578-RA
QTG54_000569	Sm_t00000579-RA
QTG54_000570	Sm_t00000580-RA
QTG54_000571	Sm_t00000581-RA
QTG54_000572	Sm_t00000582-RA
QTG54_000573	Sm_t00000583-RA
QTG54_000574	Sm_t00000584-RA
QTG54_000575	Sm_t00000585-RA
QTG54_000576	Sm_t00000586-RA
QTG54_000577	Sm_t00000587-RA
QTG54_000578	Sm_t00000588-RA
QTG54_000579	Sm_t00000589-RA
QTG54_000580	Sm_t00000590-RA
QTG54_000581	Sm_t00000591-RA
QTG54_000582	Sm_t00000592-RA
QTG54_000583	Sm_t00000593-RA
QTG54_000584	Sm_t00000594-RA
QTG54_000585	Sm_t00000595-RA
QTG54_000586	Sm_t00000596-RA
QTG54_000587	Sm_t00000597-RA
QTG54_000588	Sm_t00000598-RA
QTG54_000589	Sm_t00000599-RA
QTG54_000590	Sm_t00000600-RA
QTG54_000591	Sm_t00000601-RA
QTG54_000592	Sm_t00000602-RA
QTG54_000593	Sm_t00000603-RA
QTG54_000594	Sm_t00000604-RA
QTG54_000595	Sm_t00000605-RA
QTG54_000596	Sm_t00000606-RA
QTG54_000597	Sm_t00000607-RA
QTG54_000598	Sm_t00000608-RA
QTG54_000599	Sm_t00000609-RA
QTG54_000600	Sm_t00000610-RA
QTG54_000601	Sm_t00000611-RA
QTG54_000602	Sm_t00000612-RA
QTG54_000603	Sm_t00000613-RA
QTG54_000605	Sm_t00000615-RA
QTG54_000604	Sm_t00000614-RA
QTG54_000606	Sm_t00000616-RA
QTG54_000607	Sm_t00000617-RA
QTG54_000608	Sm_t00000618-RA
QTG54_000609	Sm_t00000619-RA
QTG54_000610	Sm_t00000620-RA
QTG54_000611	Sm_t00000621-RA
QTG54_000612	Sm_t00000622-RA
QTG54_000613	Sm_t00000623-RA
QTG54_000614	Sm_t00000624-RA
QTG54_000616	Sm_t00000626-RA
QTG54_000615	Sm_t00000625-RA
QTG54_000617	Sm_t00000627-RA
QTG54_000618	Sm_t00000628-RA
QTG54_000619	Sm_t00000629-RA
QTG54_000620	Sm_t00000630-RA
QTG54_000621	Sm_t00000631-RA
QTG54_000622	Sm_t00000632-RA
QTG54_000623	Sm_t00000633-RA
QTG54_000624	Sm_t00000634-RA
QTG54_000625	Sm_t00000635-RA
QTG54_000626	Sm_t00000636-RA
QTG54_000627	Sm_t00000637-RA
QTG54_000628	Sm_t00000638-RA
QTG54_000629	Sm_t00000639-RA
QTG54_000630	Sm_t00000640-RA
QTG54_000631	Sm_t00022495-RA
QTG54_000632	Sm_t00000641-RA
QTG54_000633	Sm_t00000642-RA
QTG54_000634	Sm_t00000643-RA
QTG54_000635	Sm_t00000644-RA
QTG54_000636	Sm_t00000645-RA
QTG54_000637	Sm_t00000646-RA
QTG54_000638	Sm_t00000647-RA
QTG54_000639	Sm_t00000648-RA
QTG54_000640	Sm_t00000649-RA
QTG54_000641	Sm_t00000650-RA
QTG54_000642	Sm_t00000651-RA
QTG54_000643	Sm_t00000652-RA
QTG54_000644	Sm_t00000653-RA
QTG54_000645	Sm_t00000654-RA
QTG54_000646	Sm_t00000655-RA
QTG54_000647	Sm_t00000656-RA
QTG54_000648	Sm_t00000657-RA
QTG54_000649	Sm_t00000658-RA
QTG54_000650	Sm_t00000659-RA
QTG54_000651	Sm_t00000660-RA
QTG54_000652	Sm_t00000661-RA
QTG54_000653	Sm_t00000662-RA
QTG54_000654	Sm_t00000663-RA
QTG54_000655	Sm_t00000664-RA
QTG54_000656	Sm_t00000665-RA
QTG54_000657	Sm_t00000666-RA
QTG54_000658	Sm_t00000667-RA
QTG54_000659	Sm_t00000668-RA
QTG54_000660	Sm_t00000669-RA
QTG54_000661	Sm_t00000670-RA
QTG54_000662	Sm_t00000671-RA
QTG54_000663	Sm_t00000672-RA
QTG54_000664	Sm_t00000673-RA
QTG54_000665	Sm_t00000674-RA
QTG54_000666	Sm_t00000675-RA
QTG54_000667	Sm_t00000676-RA
QTG54_000668	Sm_t00000677-RA
QTG54_000669	Sm_t00000678-RA
QTG54_000670	Sm_t00000679-RA
QTG54_000671	Sm_t00000680-RA
QTG54_000672	Sm_t00000681-RA
QTG54_000673	Sm_t00000682-RA
QTG54_000674	Sm_t00000683-RA
QTG54_000675	Sm_t00000684-RA
QTG54_000676	Sm_t00000685-RA
QTG54_000677	Sm_t00000686-RA
QTG54_000678	Sm_t00000687-RA
QTG54_000679	Sm_t00000688-RA
QTG54_000680	Sm_t00000689-RA
QTG54_000681	Sm_t00000690-RA
QTG54_000682	Sm_t00000691-RA
QTG54_000683	Sm_t00000692-RA
QTG54_000684	Sm_t00000693-RA
QTG54_000685	Sm_t00000694-RA
QTG54_000686	Sm_t00000695-RA
QTG54_000687	Sm_t00000697-RA
QTG54_000688	Sm_t00000698-RA
QTG54_000689	Sm_t00000699-RA
QTG54_000690	Sm_t00000700-RA
QTG54_000691	Sm_t00000701-RA
QTG54_000692	Sm_t00000704-RA
QTG54_000693	Sm_t00000705-RA
QTG54_000694	Sm_t00000706-RA
QTG54_000695	Sm_t00000707-RA
QTG54_000696	Sm_t00000708-RA
QTG54_000697	Sm_t00000709-RA
QTG54_000698	Sm_t00000710-RA
QTG54_000699	Sm_t00000711-RA
