Gene	Day49	Day56	Day72	Day91	Day126	Day189
Sm_g00000084	-3.78256356984529	-3.56338215642528	-4.38587756654344	-4.50953624171267	-3.41483882987093	-1.8253787677712
Sm_g00000085	-0.97569517080823	NA	NA	NA	-1.08869699952468	-1.70350692408323
Sm_g00000086	NA	NA	1.23866929093677	NA	NA	NA
Sm_g00000088	NA	-1.3100520652132	-1.37749796126799	-1.28876623113803	NA	NA
Sm_g00000090	NA	NA	NA	NA	NA	9.10792669203778
Sm_g00000091	-3.19422378936431	-3.6135912640133	-3.25553592321851	-3.48562134937108	-3.34342829652021	-2.14718209136305
Sm_g00000092	-1.27815975936766	NA	NA	NA	-1.48495224706241	NA
Sm_g00000093	-3.41697460340623	-2.57869859069686	-3.32440671222009	-3.20799430842321	-3.76876721202014	-2.52237162214717
Sm_g00000096	2.54399463588381	2.66923571853231	2.8883419814086	2.81442816994268	3.05656692237009	3.83468655848709
Sm_g00000097	1.02740409565455	NA	NA	NA	NA	NA
Sm_g00000098	2.98033825532655	2.98502050005761	2.98675831931787	3.1869346011459	3.54590791428274	2.94702095177105
Sm_g00000099	1.83073335483973	2.02177109570946	2.31378075504771	2.36374324644089	3.48111589164195	4.66470568121806
Sm_g00000100	3.36226031279329	3.74726601845382	3.66304740087199	3.59221308495506	3.78798153090817	3.55283281359335
Sm_g00000101	4.9048468357455	NA	5.05211297032891	4.96493422629068	4.87752780489197	6.25440481487618
Sm_g00000104	NA	1.07552767668094	1.05614736088726	NA	1.1754121556562	NA
Sm_g00000105	-1.35373893266706	-1.79086055606123	-1.5699986342012	-1.52237043520585	-1.19196223222781	NA
Sm_g00000106	-1.20945311116065	-1.83923783360196	-2.01916182552101	-1.70019872172703	-1.62711009748885	NA
Sm_g00000109	1.82205609231533	1.56616039962994	1.95888316772958	2.01342626936814	2.65831102212935	2.7150653519867
Sm_g00000111	1.55608188406142	1.12383854201862	1.03220178542833	1.01357278745607	0.924847868772716	NA
Sm_g00000112	-8.25721450465117	-7.53583044435588	-6.56654165196428	-6.54844719491162	-6.74230702134898	-5.32056584087376
Sm_g00000113	-5.80145645992336	-6.27050474225087	-9.09520295180499	-9.27475661779772	-9.36648091289037	NA
Sm_g00000114	-3.32237527178229	-2.71351520528563	-2.69577401448907	-3.39855074604321	-4.06884960088046	-4.44845086782219
Sm_g00000115	-4.93624970130062	-3.49659913286212	-3.89479341122436	-4.07811467086747	-4.20060688123336	-4.90168411906126
Sm_g00000116	-4.47132482654345	-2.67366661473821	-3.31119486577326	-3.45547580314824	-3.95004894140969	-4.08542689293597
Sm_g00000118	NA	NA	-1.01728593574976	-0.923782709676784	-1.00805638057778	NA
Sm_g00000119	NA	NA	0.980213501896195	NA	NA	NA
Sm_g00000120	-6.38220914110498	-5.91983828723564	-5.7355303726414	-4.65507022486305	-7.16058091918538	-5.72810813005588
Sm_g00000121	NA	NA	-1.24262318587291	NA	-1.19186935348032	-1.71568080552273
Sm_g00000122	1.52769366002793	2.09584602149326	2.02766775991969	2.06538295236606	2.07567917972827	NA
Sm_g00000123	-5.09620205642665	-3.66055154738441	-4.17771138420575	-4.67098085491463	-6.25397236317033	-4.18266980393048
Sm_g00000124	-6.75669910081508	-7.40099756463751	-8.06919862278447	-8.79977206030991	-8.5128842165615	-6.49950037270128
Sm_g00000128	-5.9213553698457	-6.45212747185963	-7.03790044039891	-7.21885363815116	-6.15850363798744	-5.48042606719601
Sm_g00000130	NA	-1.94390705987674	-2.16777720070293	-1.80102168435135	-1.4595999904525	-1.61251190048718
Sm_g00000131	-5.02343061684526	-5.60317052411771	-5.63680203358719	-5.72240763003155	-6.12996358183588	-5.77217840090815
Sm_g00000133	NA	NA	NA	NA	-1.02828378199536	NA
Sm_g00000134	NA	NA	1.13475713667363	1.16524294040676	1.68194848698527	1.51280692928539
Sm_g00000137	-1.21837810950089	NA	NA	NA	NA	NA
Sm_g00000138	NA	1.00916005628886	NA	NA	NA	-1.19411900841368
Sm_g00000139	2.05266730520336	1.79249873111656	1.81055647892743	1.92006041942067	2.32571064028503	1.88667862034005
Sm_g00000143	NA	NA	NA	NA	1.06110174703664	1.73925727457923
Sm_g00000144	NA	NA	1.1021263030599	0.861133403277754	0.961505771893862	1.1015902205176
Sm_g00000145	NA	NA	NA	1.00988681475908	1.46035185061481	1.939947460791
Sm_g00000146	-4.64937643212691	-4.99293325894523	-4.43229513981718	-3.9665651085536	-4.3935559049477	-4.3612536295636
Sm_g00000147	1.65638668223827	1.72642484269291	2.2972709803077	2.18358631458746	2.27160312593826	2.08374216156642
Sm_g00000148	NA	NA	1.04212243299821	1.28127882596991	1.5937209711243	1.81819182568726
Sm_g00000149	-2.11969880679628	-2.36506002467271	-2.51011147928043	-2.304993106221	-1.94666994799625	NA
Sm_g00000150	-4.6263054601122	-3.91666354611463	-4.37800336390679	-4.39582756813482	-4.51548418674442	-4.52016044924614
Sm_g00000152	2.48501068850388	1.94809510646097	2.46514286815272	2.49969076503358	2.04651062317167	1.25916785555524
